,FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
50,06:10:17:08.363,61,2.844e-07,0.0,0.0797347426,0.0,0.0352883115,0.1082343161,0.0385089032,2.845e-07,0.0,0.0338796191,0.0,0.0353669934,0.1082590967,0.0385003313,0.0120030763,0.010255402,0.0,0.0207883082,0.0200043321,0.0184207335,0.0332160443,0.0,0.0014706462,0.1760272086,0.1992171258,0.0,0.0,0.0491716228,0.0491946265,0.0338494033,0.0326485597,0.0286329668,0.0176154394,0.2079635412,0.1402252465,0.0664839447,0.0731431916,0.0187006667,0.0167253204,0.0184047818,0.0203616004,0.1479258537,0.1478467137,0.0289244968,0.0,0.0,0.0260978285,0.055138804,0.0592936762,0.065782167,0.0724630803,1.09e-08,0.0,0.0,0.0,-0.0206934214,-0.015435067,0.0003194069,0.0487014055,-0.0154157085,-0.0007505293
51,06:10:17:09.365,61,2.617e-07,0.0,0.0799733177,0.0,0.0354978591,0.1079598442,0.0390241779,2.618e-07,0.0,0.0336144231,0.0,0.0355770923,0.1079843193,0.0390156172,0.0119463056,0.0101905307,0.0,0.0207299273,0.0199404061,0.018273497,0.0331812091,0.0,0.0015152546,0.1756530851,0.1987408847,0.0,0.0,0.0488657914,0.0488873534,0.0336898789,0.0325137153,0.028571818,0.0175476633,0.2078910023,0.1402877271,0.066309616,0.0729360059,0.0185997002,0.0166369248,0.0183865298,0.0203410238,0.1499096304,0.1498344243,0.0287354924,0.0,0.0,0.025948178,0.0549870506,0.0591131635,0.0657234415,0.0723712593,1.12e-08,0.0,0.0,0.0,-0.0205314085,-0.0155267073,0.0003187884,0.0488470607,-0.0155073619,-0.0007572484
52,06:10:17:10.366,61,2.408e-07,0.0,0.0803835541,0.0,0.0362685807,0.1078712642,0.0394700728,2.409e-07,0.0,0.0331781209,0.0,0.0363489017,0.107895419,0.0394615307,0.0119043998,0.0101422062,0.0,0.0206904002,0.0199004021,0.0181728713,0.0331496857,0.0,0.001555438,0.1752159894,0.1981988102,0.0,0.0,0.0485914424,0.048615735,0.0335631408,0.0324091502,0.0285122637,0.0175023191,0.2076352835,0.1401639581,0.0661317334,0.0727267638,0.0185240004,0.0165702514,0.0183501747,0.0202972665,0.1509883255,0.1509137452,0.0285485834,0.0,0.0,0.025842065,0.0548633523,0.0589509346,0.0656531155,0.0722600669,1.09e-08,0.0,0.0,0.0,-0.0202648155,-0.0158634558,0.000321475,0.0490973629,-0.0158442464,-0.0007776631
53,06:10:17:11.368,61,2.216e-07,0.0,0.0804988816,0.0,0.037373431,0.1077183932,0.0397869498,2.217e-07,0.0,0.0330444835,0.0,0.0374551192,0.1077424362,0.039778389,0.0118602617,0.0101457499,0.0,0.0206532795,0.019866053,0.0181013364,0.0331350267,0.0,0.0016107302,0.1746819019,0.1976733208,0.0,0.0,0.0483310185,0.0483588837,0.0334594175,0.032319542,0.0284380298,0.017462207,0.2072831541,0.1399393231,0.0659808218,0.0725548044,0.0184660163,0.0165189579,0.0183009878,0.0202426352,0.1518381387,0.151764214,0.0283566788,0.0,0.0,0.0257641524,0.0547101498,0.0587725155,0.065579921,0.0721518099,8.9e-09,0.0,0.0,0.0,-0.0201830287,-0.0163462069,0.000329923,0.0491674356,-0.0163269676,-0.0008025027
54,06:10:17:12.369,61,2.04e-07,0.0,0.080438517,0.0,0.0384739116,0.1077229232,0.0398112088,2.041e-07,0.0,0.033088021,0.0,0.0385566913,0.1077469662,0.0398026928,0.0118233375,0.0101373186,0.0,0.0206105877,0.0198292807,0.018037485,0.0330950283,0.0,0.001634047,0.174194932,0.197140187,0.0,0.0,0.0481447987,0.0481679812,0.0333846696,0.0322555266,0.028382428,0.0174270086,0.2070712447,0.1398155987,0.0658796653,0.0724461153,0.0184223037,0.0164786354,0.0182601158,0.0201959684,0.1525733173,0.152499795,0.0281881802,0.0,0.0,0.025695784,0.0545804165,0.058617916,0.065539211,0.0720748082,5.6e-09,0.0,0.0,0.0,-0.0202094633,-0.0168269612,0.0003400728,0.0491301678,-0.016807694,-0.0008255102
55,06:10:17:13.371,61,1.877e-07,0.0,0.0805046782,0.0,0.0397544354,0.1077706143,0.0399432853,1.878e-07,0.0,0.0330060497,0.0,0.0398385823,0.1077946499,0.0399348661,0.011794623,0.0101442309,0.0,0.0205944981,0.0198190343,0.0180137753,0.0331018642,0.0,0.0016438152,0.1737546921,0.1966615766,0.0,0.0,0.0479321331,0.0479574911,0.0333291702,0.032208629,0.0283227898,0.0173955336,0.2068316787,0.1396492422,0.0657739118,0.0723285973,0.0183841716,0.0164444111,0.0182256307,0.0201544128,0.1530462205,0.1529723257,0.0280587897,0.0,0.0,0.025652647,0.0545215234,0.0585348718,0.0654904991,0.0719964504,4.7e-09,0.0,0.0,0.0,-0.0201592017,-0.0173863918,0.0003505074,0.0491701104,-0.0173671357,-0.0008536855
56,06:10:17:14.372,61,1.728e-07,0.0,0.0803695768,0.0,0.0411707424,0.1077003106,0.0402436219,1.728e-07,0.0,0.0331384502,0.0,0.0412559845,0.1077241525,0.0402349606,0.0117654409,0.0101158908,0.0,0.0205738191,0.0198026728,0.0179701,0.0330904089,0.0,0.0016872238,0.1733373255,0.1962199211,0.0,0.0,0.0477371626,0.0477700457,0.0332774073,0.0321763679,0.0282530598,0.0173637923,0.2065169215,0.1394326687,0.0656232908,0.0721556321,0.0183403585,0.0164052341,0.0181777254,0.0200996082,0.1531478912,0.1530742347,0.0279443823,0.0,0.0,0.0256071948,0.0544149093,0.0584064573,0.0653971806,0.0718788058,4e-09,0.0,0.0,0.0,-0.0202398468,-0.018005006,0.000364433,0.0490870476,-0.017985791,-0.0008826097
57,06:10:17:15.374,61,1.59e-07,0.0,0.0804968923,0.0,0.0420122221,0.1076753139,0.0405543521,1.591e-07,0.0,0.0330042839,0.0,0.0420985557,0.1076990515,0.0405453518,0.011747146,0.0101022972,0.0,0.0205664281,0.0198005624,0.0179570969,0.0331153758,0.0,0.0017205317,0.1731216311,0.1960008889,0.0,0.0,0.0476116426,0.0476491489,0.0332590491,0.0321691558,0.0282052401,0.017340485,0.2063577324,0.1393112093,0.0655342713,0.0720550269,0.0183204804,0.0163860135,0.018153213,0.0200709477,0.1533619016,0.1532886624,0.027852444,0.0,0.0,0.0255773924,0.0543760769,0.058357548,0.0653505698,0.0718220621,4.6e-09,0.0,0.0,0.0,-0.0201577693,-0.0183726903,0.0003703691,0.0491644852,-0.0183534659,-0.0009020763
58,06:10:17:16.376,61,1.463e-07,0.0,0.0808090642,0.0,0.0431504063,0.1076096594,0.040858563,1.464e-07,0.0,0.0326793864,0.0,0.0432383791,0.1076331884,0.0408493988,0.0117214983,0.0100753922,0.0,0.0205413923,0.019785149,0.0179346818,0.0331098884,0.0,0.0017190626,0.1728323996,0.1956687123,0.0,0.0,0.0474590771,0.0474963449,0.0332380384,0.0321576707,0.0281436406,0.0173107013,0.2060973644,0.1391229928,0.0654151738,0.0719225779,0.0182951577,0.0163601097,0.0181212574,0.0200305711,0.1533346474,0.1532613188,0.0277851839,0.0,0.0,0.0255508851,0.0543142557,0.0582706891,0.0652736425,0.0717292652,5.5e-09,0.0,0.0,0.0,-0.019959148,-0.0188700613,0.0003766501,0.0493546948,-0.0188508723,-0.0009301114
59,06:10:17:17.377,61,1.347e-07,0.0,0.0809543654,0.0,0.0441435128,0.1074783206,0.0413026884,1.347e-07,0.0,0.0325341485,0.0,0.0442328528,0.1075015664,0.0412930548,0.0117049059,0.0100466041,0.0,0.0205257758,0.0197718982,0.0179128908,0.0331244171,0.0,0.0017512663,0.1724877656,0.1953579783,0.0,0.0,0.0472952686,0.0473394804,0.0332104117,0.032141611,0.0280959979,0.0172846243,0.2058495432,0.1389559358,0.0653154105,0.071811825,0.0182575453,0.0163259022,0.018076878,0.0199833661,0.152956292,0.1528833359,0.0277500413,0.0,0.0,0.0255494397,0.0542586744,0.0581992939,0.0651545227,0.0716100037,6e-09,0.0,0.0,0.0,-0.0198702775,-0.0193040334,0.0003835989,0.0494430289,-0.0192848109,-0.0009532289
