FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
4.22113e-05,0.020942725,0.009275623,0.0,0.0,0.05122181,0.178966135,4.359e-05,0.020821147,0.109503828,0.0,0.0,0.051270608,0.179699302,0.018322509,0.013941808,0.0,0.023238264,0.014367566,0.010277516,0.039370917,0.009328025,0.0,0.334696323,0.31574443,0.0,0.0,0.170115367,0.175482839,0.042745225,0.045184106,0.058408838,0.024782807,0.311075449,0.22704038,0.12292055,0.119658828,0.022483623,0.021673758,0.026328666,0.025898052,0.051133681,0.050168742,0.051218703,0.0,0.0,0.028081622,0.050809365,0.057132997,0.074009277,0.074772298,1.9e-09,-0.015483031,0.044005302,0.087304361,-0.066886663,0.012747423,-0.000852043,0.005665692,0.012793387,7.2487e-05
3.88474e-05,0.021684874,0.007994644,0.0,0.0,0.051356621,0.179466158,4.01163e-05,0.021560174,0.110782333,0.0,0.0,0.051405732,0.180204064,0.018321848,0.013740763,0.0,0.023302024,0.014400987,0.01025944,0.039508607,0.00946263,0.0,0.340152204,0.321023822,0.0,0.0,0.170375854,0.175649852,0.042792272,0.045270387,0.058198854,0.024756016,0.310589671,0.22665371,0.121456176,0.118207887,0.022538638,0.021728065,0.02653696,0.026074538,0.051156703,0.050193921,0.051505115,0.0,0.0,0.028021697,0.05117812,0.057546634,0.074372694,0.075018287,1.8e-09,-0.015451254,0.044483301,0.087731116,-0.067667186,0.013200574,-0.000892616,0.004883223,0.013246695,6.46901e-05
3.57515e-05,0.02261417,0.007382833,0.0,0.0,0.051429197,0.179847196,3.69193e-05,0.022486737,0.111404039,0.0,0.0,0.05147849,0.180590332,0.018256418,0.013582869,0.0,0.023319218,0.014426019,0.010228558,0.039606724,0.009630966,0.0,0.347444087,0.328363746,0.0,0.0,0.170428768,0.175579831,0.042807825,0.04530932,0.057832703,0.024677249,0.307369739,0.224886805,0.116461135,0.113370478,0.022572111,0.02175705,0.026715681,0.026222345,0.0510034,0.050040223,0.051795162,0.0,0.0,0.027898412,0.051477321,0.057883721,0.074738011,0.075275518,1.7e-09,-0.015677923,0.044509065,0.088001333,-0.068046443,0.013768233,-0.000936215,0.004509486,0.013814349,6.22994e-05
3.29024e-05,0.023216981,0.00727727,0.0,0.0,0.05143182,0.18001394,3.39771e-05,0.02308799,0.111517407,0.0,0.0,0.051481117,0.180765107,0.01816161,0.013432248,0.0,0.023304008,0.014441835,0.010218624,0.039759141,0.009774928,0.0,0.349476814,0.3303321,0.0,0.0,0.17013897,0.175169215,0.042789511,0.045309052,0.057432901,0.02456275,0.306139201,0.224105373,0.11463511,0.111591272,0.022567069,0.021754077,0.026896656,0.026368659,0.050889231,0.049919058,0.052044161,0.0,0.0,0.027812261,0.051655941,0.058059339,0.075074635,0.075505756,1.6e-09,-0.015310623,0.045202208,0.08854875,-0.068115324,0.014136434,-0.000962227,0.004444985,0.014182587,6.30454e-05
3.02804e-05,0.024551407,0.007506362,0.0,0.0,0.05136548,0.180250973,3.12694e-05,0.024419485,0.111303836,0.0,0.0,0.051414713,0.181011081,0.018049639,0.013228697,0.0,0.023252124,0.014431903,0.010203602,0.039934345,0.009972403,0.0,0.349665493,0.327982873,0.0,0.0,0.169823542,0.174697951,0.042752456,0.045307547,0.057018187,0.024423881,0.305465102,0.223705918,0.113506883,0.11046996,0.022525879,0.021715049,0.027086498,0.026508046,0.050831799,0.049855225,0.052203957,0.0,0.0,0.027757766,0.051746741,0.058121353,0.075381257,0.075684592,1.4e-09,-0.015115895,0.045831051,0.089168459,-0.067984074,0.014951557,-0.00101576,0.00458486,0.01499776,6.87675e-05
2.78673e-05,0.025002198,0.007342277,0.0,0.0,0.051230725,0.180216238,2.87775e-05,0.024869107,0.111472935,0.0,0.0,0.051279988,0.18098639,0.017917071,0.01304812,0.0,0.023163462,0.014404588,0.010206893,0.04013706,0.010221497,0.0,0.33339265,0.305340231,0.0,0.0,0.169051677,0.172944993,0.042686086,0.045264605,0.056572504,0.024263496,0.30499059,0.223450929,0.112803899,0.109757587,0.022442255,0.021636941,0.027238213,0.026603829,0.050762318,0.049777448,0.052262358,0.0,0.0,0.027738432,0.051643245,0.057954785,0.075579219,0.075764455,1.3e-09,-0.015041567,0.046678063,0.08969985,-0.068087079,0.015226959,-0.001036038,0.004484619,0.015273128,6.84993e-05
2.56465e-05,0.026838739,0.009063331,0.0,0.0,0.051007792,0.179740295,2.64842e-05,0.026703306,0.109815627,0.0,0.0,0.051056888,0.180521384,0.017744904,0.012892084,0.0,0.02302628,0.014372521,0.010232838,0.040387202,0.010397274,0.0,0.323852986,0.296765477,0.0,0.0,0.165331855,0.168237567,0.042579051,0.045171499,0.056101739,0.02407223,0.30444026,0.223144323,0.11215315,0.109103769,0.02234528,0.021550147,0.027417874,0.026733955,0.050808914,0.049814392,0.052233804,0.0,0.0,0.027733667,0.051466506,0.05770009,0.075894132,0.075980216,1.2e-09,-0.014799245,0.04736973,0.090202637,-0.067073621,0.016348887,-0.001095854,0.00553573,0.016395103,9.07665e-05
2.36027e-05,0.027796721,0.010248527,0.0,0.0,0.050793517,0.17935504,2.43736e-05,0.027660312,0.108678445,0.0,0.0,0.050842255,0.180150732,0.017581645,0.012715468,0.0,0.022894945,0.014341982,0.010260089,0.040638842,0.010621239,0.0,0.318323344,0.290743113,0.0,0.0,0.163200483,0.165538237,0.04248035,0.045088239,0.055641115,0.023889151,0.303834379,0.222783402,0.111632995,0.10857024,0.022250377,0.02146229,0.027562417,0.026823107,0.050858717,0.049846519,0.052177105,0.0,0.0,0.027740868,0.051248163,0.057365272,0.076114684,0.076084875,1e-09,-0.014235811,0.047711906,0.090443701,-0.0663784,0.016934022,-0.001123335,0.006259567,0.016980384,0.000106299
2.17217e-05,0.029692195,0.013183229,0.0,0.0,0.050582942,0.178764045,2.24312e-05,0.029555202,0.105878182,0.0,0.0,0.050631315,0.179577366,0.017431743,0.012604995,0.0,0.022731822,0.014268386,0.010275837,0.040910743,0.01080717,0.0,0.300992221,0.274428189,0.0,0.0,0.16210103,0.164199159,0.042404812,0.045015842,0.055227023,0.02370243,0.303917259,0.223091751,0.111730084,0.108647138,0.022119476,0.021340853,0.027703362,0.026909694,0.051354878,0.050319262,0.051947959,0.0,0.0,0.027806386,0.050912824,0.056889419,0.076208867,0.07607466,1.1e-09,-0.013738964,0.048447338,0.090422824,-0.064666748,0.018092064,-0.001169267,0.008051853,0.018138522,0.000146063
1.99907e-05,0.030174213,0.014018448,0.0,0.0,0.050375588,0.177792832,2.06436e-05,0.030037219,0.10509143,0.0,0.0,0.050423548,0.178640306,0.017257089,0.012525008,0.0,0.022539396,0.014190302,0.010282501,0.041121796,0.010915548,0.0,0.295034081,0.269075006,0.0,0.0,0.158156171,0.160512388,0.042258181,0.044868317,0.054739755,0.0235058,0.303406447,0.222941607,0.111518331,0.108425781,0.021957265,0.021192681,0.027771747,0.026944745,0.051637415,0.050582469,0.051670693,0.0,0.0,0.027838109,0.050547808,0.056404155,0.076276429,0.076072209,1e-09,-0.01248808,0.04902446,0.090079367,-0.06418588,0.01838656,-0.00117948,0.008561929,0.018433053,0.000157839
