FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:21:10:41.112,61,0.0,0.049585804,0.104022563,0.0,0.0,0.025857877,0.114860185,0.0,0.049586974,0.017027592,0.0,0.0,0.025861504,0.115131721,0.005114544,0.008921921,0,0.007979997,0.007628391,0.005253247,0.035606436,0.002425495,0.0,0.019728687,0.020644059,0,0,0.016460495,0.017267052,0.017761225,0.018887034,0.014279369,0.008945023,0.103066973,0.083417505,0.041929245,0.041446634,0.007142919,0.007006482,0.010853086,0.011069709,0.005645508,0.005133813,0.017901991,0,0,0.014831736,0.016733157,0.018225923,0.039193086,0.042677831,1e-10,0.043391228,0.050100696,-0.017978512,-0.010396794,0.030292597,-0.000315037,0.063514583,0.030351466,0.001927054
16:21:10:42.114,61,0.0,0.049433589,0.104206979,0.0,0.0,0.025726978,0.114400089,0.0,0.049434759,0.016852278,0.0,0.0,0.025730612,0.114673525,0.004999727,0.009057486,0,0.007983066,0.007647842,0.00521989,0.035485331,0.002528715,0.0,0.019826265,0.020788495,0,0,0.016363034,0.017171577,0.017661601,0.018771503,0.014157396,0.00891185,0.102681644,0.08311519,0.041798182,0.041323122,0.007117498,0.006974933,0.010713839,0.010932111,0.005432007,0.004919117,0.017983254,0,0,0.014688799,0.01662891,0.018105084,0.039038245,0.04251815,1e-10,0.043105949,0.049622294,-0.018190416,-0.010289778,0.030199574,-0.000310836,0.06362737,0.030258508,0.001924556
16:21:10:43.115,61,0.0,0.048955668,0.10417679,0.0,0.0,0.025609208,0.114159048,0.0,0.048955865,0.016870558,0.0,0.0,0.025612842,0.114432894,0.004893705,0.009158537,0,0.007988309,0.00766936,0.005188071,0.035332225,0.002628266,0.0,0.02010846,0.021052513,0,0,0.016274471,0.017085319,0.017567432,0.01866537,0.014037494,0.008880674,0.102241933,0.082773574,0.041645877,0.041182183,0.007095773,0.006946408,0.010585574,0.010804028,0.005345483,0.004831228,0.018020274,0,0,0.014543518,0.016536692,0.017995134,0.0388969,0.042365272,0.0,0.043014851,0.04977065,-0.018315267,-0.010301029,0.029907022,-0.00030816,0.063609503,0.029965941,0.001905401
16:21:10:44.117,61,0.0,0.048266601,0.104414776,0.0,0.0,0.025509909,0.114090651,0.0,0.048266016,0.016627545,0.0,0.0,0.025513547,0.114366502,0.004791715,0.009296112,0,0.007995185,0.007694549,0.005152884,0.03512799,0.002742435,0.0,0.020400401,0.02137661,0,0,0.016166864,0.016978638,0.017473955,0.018557811,0.013909927,0.008851636,0.101253323,0.08220198,0.041387953,0.040933341,0.007077318,0.006920097,0.01045145,0.010671195,0.005029922,0.004514383,0.018068818,0,0,0.014384547,0.016446345,0.017887389,0.038721524,0.042181015,0.0,0.042802196,0.049954039,-0.018493336,-0.010152775,0.029485554,-0.000299442,0.063755617,0.029544435,0.001882893
16:21:10:45.118,61,0.0,0.047600951,0.104748331,0.0,0.0,0.025448399,0.114894755,0.0,0.047599975,0.016265119,0.0,0.0,0.025452053,0.115176201,0.004703687,0.009421706,0,0.008006936,0.007722535,0.005122464,0.034925867,0.002852881,0.0,0.020752579,0.021714965,0,0,0.016072013,0.016884986,0.017398568,0.01847283,0.013801427,0.008828037,0.100577533,0.081708372,0.041165635,0.040718898,0.007068909,0.006902331,0.01033376,0.01055343,0.004865339,0.004348398,0.018089686,0,0,0.014247253,0.016373713,0.017802468,0.038585562,0.042036433,0.0,0.042870365,0.050297794,-0.018851593,-0.009931595,0.029078607,-0.000288874,0.063960038,0.029137362,0.001862881
16:21:10:46.121,61,0.0,0.047065072,0.10456799,0.0,0.0,0.025405673,0.115964964,0.0,0.047062732,0.016451363,0.0,0.0,0.025409363,0.116255626,0.004623955,0.009573758,0,0.008017844,0.007750053,0.005101147,0.034805678,0.002931658,0.0,0.02074657,0.021786755,0,0,0.015952993,0.016765405,0.017328423,0.018394418,0.013709924,0.008803823,0.100035019,0.081298523,0.040977933,0.04053811,0.007059589,0.006886446,0.010227591,0.010446948,0.004742426,0.004223789,0.018132631,0,0,0.014141196,0.016315432,0.017734284,0.038457222,0.041895658,0.0,0.042876639,0.050486949,-0.019207457,-0.010045415,0.028750442,-0.000288885,0.06385053,0.02880914,0.001838736
16:21:10:47.121,61,0.0,0.046395518,0.104544647,0.0,0.0,0.025353387,0.116319433,0.0,0.046391618,0.016457239,0.0,0.0,0.025357097,0.116615489,0.004549104,0.009706097,0,0.008025195,0.007773196,0.005074964,0.034648139,0.003035263,0.0,0.020852499,0.021903686,0,0,0.015848447,0.016657686,0.017248554,0.018299809,0.01362097,0.008782713,0.099472031,0.080855347,0.040772397,0.040342696,0.007049874,0.006868526,0.010127099,0.010345946,0.004602838,0.004081734,0.018143507,0,0,0.014027017,0.016252819,0.017655766,0.038335729,0.041757386,0.0,0.042359304,0.049822685,-0.019520713,-0.010049121,0.028340461,-0.000284868,0.063837014,0.028399276,0.001812179
16:21:10:48.123,61,0.0,0.046306141,0.104849443,0.0,0.0,0.025302028,0.117236011,0.0,0.046302825,0.016154932,0.0,0.0,0.025305752,0.117545828,0.004481425,0.009833537,0,0.008037658,0.007803582,0.005054188,0.034494299,0.003161045,0.0,0.021223599,0.02223438,0,0,0.015774138,0.016580761,0.017183492,0.018226599,0.013538462,0.008768478,0.098886266,0.080364294,0.040560782,0.040134437,0.007054378,0.006864413,0.010039256,0.010255868,0.004506629,0.00398156,0.018176848,0,0,0.013913994,0.016205501,0.017596247,0.038247459,0.041646294,0.0,0.041962858,0.049052012,-0.019968348,-0.009864539,0.028286167,-0.0002791,0.064023241,0.028344905,0.001813977
16:21:10:49.125,61,0.0,0.045882281,0.104761161,0.0,0.0,0.025238585,0.117676899,0.0,0.045877986,0.016228674,0.0,0.0,0.025242338,0.117994636,0.004419414,0.009946452,0,0.008053736,0.007830788,0.005032841,0.034323525,0.003350758,0.0,0.02182441,0.022689004,0,0,0.015741102,0.016543515,0.017131226,0.018161496,0.013469503,0.008763609,0.098358385,0.07990545,0.040364843,0.039943669,0.007063567,0.006863846,0.009959541,0.010171799,0.004349059,0.003819657,0.018217638,0,0,0.013795017,0.016164359,0.01754085,0.038172483,0.041547816,1e-10,0.041667972,0.048260507,-0.020036204,-0.00990964,0.028026648,-0.000277802,0.063969791,0.028085351,0.001795859
16:21:10:50.126,61,0.0,0.045941215,0.104834519,0.0,0.0,0.025150254,0.117805563,0.0,0.045937117,0.016142372,0.0,0.0,0.025154041,0.118131146,0.004358919,0.010061439,0,0.008063801,0.007851531,0.005012728,0.034218881,0.003481665,0.0,0.022155004,0.022935242,0,0,0.015695315,0.016492082,0.017066645,0.018082939,0.013405427,0.008755038,0.097969145,0.079569466,0.040218093,0.039801568,0.007063311,0.006857107,0.009890301,0.010099636,0.004212534,0.003678902,0.018244891,0,0,0.013695004,0.01611281,0.017477484,0.038110349,0.041459199,0.0,0.041446373,0.04775278,-0.020330198,-0.009856931,0.028062753,-0.000276681,0.064014524,0.028121507,0.001799428
