FaceBlendShape.Unnamed: 0,FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
50,16:21:37:00.583,61.0,0.0,0.048641481,0.07834059,0.0,0.0,0.023299128,0.120814152,0.0,0.048584692,0.042619653,0.0,0.0,0.023303699,0.121269472,0.004319401,0.010889676,0.0,0.008847094,0.008578057,0.004996778,0.02998451,0.008186049,0.0,0.035490621,0.029586697,0.0,0.0,0.016891927,0.017385077,0.016522938,0.017164908,0.014344584,0.00973072,0.087041415,0.070883058,0.039432906,0.038960226,0.00774372,0.007415608,0.010000239,0.009991994,0.006698987,0.006061128,0.018880243,0.0,0.0,0.012403308,0.016681423,0.017897939,0.039616797,0.041153416,0.0,0.02134889,0.049578366,-0.010266163,-0.026023401,0.029688757,-0.000772742,0.0478344,0.029747427,0.001422827
51,16:21:37:01.584,61.0,0.0,0.048796233,0.07861191,0.0,0.0,0.023297403,0.120552972,0.0,0.048740029,0.042350482,0.0,0.0,0.023301974,0.12100634,0.004285367,0.010984523,0.0,0.008857006,0.008608861,0.004995878,0.029922772,0.008160086,0.0,0.035212845,0.02945772,0.0,0.0,0.016746745,0.017239105,0.016477058,0.017116102,0.014247993,0.009712493,0.086559236,0.070392281,0.039152272,0.038685672,0.007734874,0.007402898,0.009937377,0.009932255,0.007118981,0.006474995,0.018799327,0.0,0.0,0.012339081,0.016661426,0.017878618,0.039559335,0.041095872,0.0,0.021281291,0.049417046,-0.010028036,-0.025858972,0.029783553,-0.000770314,0.047999937,0.029842308,0.001432303
52,16:21:37:02.586,61.0,0.0,0.049313571,0.079085648,0.0,0.0,0.023248693,0.120121658,0.0,0.049258735,0.041898754,0.0,0.0,0.02325324,0.120575048,0.004243063,0.01104836,0.0,0.008861457,0.008634517,0.004988685,0.029870467,0.008162942,0.0,0.03478729,0.029135086,0.0,0.0,0.016561266,0.017050847,0.016404677,0.017040586,0.014133209,0.009683754,0.085936248,0.069801234,0.03879945,0.038336027,0.0077177,0.007382662,0.009867955,0.00986584,0.007309131,0.006661788,0.018733701,0.0,0.0,0.012265526,0.016618595,0.017831987,0.039467648,0.040992472,0.0,0.020882877,0.049587753,-0.010219764,-0.025582904,0.030100305,-0.000770202,0.04828874,0.030159116,0.001456221
53,16:21:37:03.587,61.0,0.0,0.049719088,0.079561345,0.0,0.0,0.023213284,0.119790904,0.0,0.049665619,0.041418303,0.0,0.0,0.023217827,0.120243534,0.004207871,0.011095141,0.0,0.00885927,0.008647348,0.004979705,0.029832386,0.008163502,0.0,0.034359489,0.028801806,0.0,0.0,0.016416336,0.016903909,0.016348463,0.01698542,0.014035583,0.009655997,0.085545205,0.069406048,0.038533881,0.038071577,0.007698276,0.007361997,0.009808082,0.009808845,0.007442279,0.006793079,0.018684948,0.0,0.0,0.012203529,0.016576463,0.017785601,0.039381914,0.040904511,0.0,0.020910457,0.049583879,-0.010380657,-0.02528936,0.030348709,-0.000767653,0.048578832,0.03040755,0.001477037
54,16:21:37:04.589,61.0,0.0,0.050464165,0.079814337,0.0,0.0,0.023154218,0.119305015,0.0,0.050411865,0.041176617,0.0,0.0,0.023158729,0.119756393,0.004168516,0.01113688,0.0,0.008848478,0.008654356,0.004967613,0.029800555,0.008158699,0.0,0.033759277,0.028337522,0.0,0.0,0.016245008,0.016729435,0.01629162,0.016927276,0.013933855,0.009613359,0.085130557,0.069009692,0.038230442,0.037772551,0.007673118,0.007335074,0.009753313,0.009755007,0.007415422,0.006767002,0.018661698,0.0,0.0,0.012131888,0.016538525,0.017740201,0.039286077,0.040803984,0.0,0.021485727,0.049838018,-0.010332715,-0.025141437,0.030804599,-0.000774635,0.048732627,0.03086346,0.001503939
55,16:21:37:05.591,61.0,0.0,0.050762158,0.079985142,0.0,0.0,0.023135962,0.11903324,0.0,0.050710443,0.041002501,0.0,0.0,0.023140462,0.119484775,0.004131884,0.011209458,0.0,0.008832261,0.008655326,0.004951467,0.029715424,0.008166459,0.0,0.033412583,0.028132532,0.0,0.0,0.016105315,0.016587332,0.016247187,0.01687851,0.013834634,0.009574347,0.084715456,0.068620913,0.037940815,0.037490912,0.007651832,0.007311904,0.009699569,0.009701659,0.007309788,0.006662635,0.018634915,0.0,0.0,0.012057819,0.016506353,0.017706914,0.039203286,0.040724415,0.0,0.021616494,0.049974304,-0.010488819,-0.025034983,0.030986965,-0.000775925,0.048836641,0.031045869,0.001516059
56,16:21:37:06.593,61.0,0.0,0.051452983,0.080329433,0.0,0.0,0.023108508,0.118807323,0.0,0.051402632,0.040668134,0.0,0.0,0.02311299,0.119256221,0.004101207,0.011256256,0.0,0.008818171,0.008655825,0.004937648,0.029660236,0.008146524,0.0,0.032955851,0.02784534,0.0,0.0,0.015979253,0.016459089,0.016208166,0.016834548,0.013755731,0.009538968,0.084409699,0.06832125,0.037703943,0.037262343,0.007635012,0.007291752,0.009656296,0.009662078,0.007301155,0.006656648,0.018600106,0.0,0.0,0.011997251,0.016474314,0.017674919,0.039141621,0.040668301,0.0,0.022071248,0.050553274,-0.010054505,-0.024830502,0.031409767,-0.000780097,0.049046204,0.031468693,0.00154331
57,16:21:37:07.594,61.0,0.0,0.051291984,0.080705881,0.0,0.0,0.023094144,0.118690193,0.0,0.051242419,0.040279944,0.0,0.0,0.023098597,0.119136728,0.004075129,0.011292702,0.0,0.008809837,0.008655638,0.004926632,0.029623032,0.008113494,0.0,0.032494355,0.027539751,0.0,0.0,0.015861776,0.016342424,0.016173257,0.016797727,0.013685929,0.009513351,0.08413206,0.068047866,0.037495796,0.037059117,0.007614528,0.007269391,0.009603932,0.00961212,0.007022657,0.006381339,0.018606203,0.0,0.0,0.011956048,0.016444329,0.017642293,0.039053049,0.04058462,0.0,0.022107454,0.051000935,-0.009365836,-0.02459356,0.031311683,-0.00077024,0.049276207,0.031370588,0.001545704
58,16:21:37:08.595,61.0,0.0,0.051962905,0.080814317,0.0,0.0,0.023041308,0.118455164,0.0,0.051914312,0.040181797,0.0,0.0,0.023045756,0.118901908,0.004046803,0.011312908,0.0,0.008791642,0.008646834,0.00491599,0.02964692,0.008096763,0.0,0.031959668,0.02708091,0.0,0.0,0.015742522,0.016221475,0.016135618,0.016761825,0.013620708,0.009474051,0.084037788,0.067933686,0.037342127,0.036905676,0.007588833,0.00724379,0.009570258,0.009580676,0.006782042,0.006144324,0.018605435,0.0,0.0,0.011920232,0.016404191,0.017598286,0.038981646,0.040514976,1e-10,0.022422753,0.051453945,-0.008748978,-0.02453332,0.031722195,-0.000778434,0.049341772,0.031781025,0.001568022
59,16:21:37:09.597,61.0,0.0,0.052220695,0.08099895,0.0,0.0,0.023008782,0.118490845,0.0,0.052172493,0.039973836,0.0,0.0,0.023013216,0.118933633,0.004017598,0.01135536,0.0,0.008770652,0.008637903,0.004902469,0.029607561,0.008036721,0.0,0.031374503,0.026691096,0.0,0.0,0.015600058,0.016078793,0.016102614,0.01672852,0.013546085,0.00942888,0.083812565,0.067728683,0.037132967,0.036705993,0.007561588,0.00721592,0.009528346,0.009542503,0.006473538,0.005842254,0.018603733,0.0,0.0,0.011871404,0.016369836,0.017566849,0.038902428,0.040447258,1e-10,0.02274707,0.051945236,-0.008201595,-0.024406225,0.031879865,-0.000778253,0.049454257,0.031938877,0.001579405
