FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:21:57:30.505,61,0.0,0.0,0.067075521,0,0.097176656,0.112424985,0.256752491,0.0,0.0,0.048129816,0.0,0.097215995,0.112530179,0.256887227,0.015549365,0.003127089,0.0,0.011322833,0.010764301,0.013197391,0.088801719,0.001328294,0.0,0.029879984,0.037437465,0.0,0.0,0.031859461,0.031062391,0.030673612,0.031281445,0.038584828,0.013463463,0.359639198,0.294279069,0.126294494,0.128078118,0.015217563,0.01508212,0.025099734,0.026234016,0.26743266,0.266567528,0.013873763,0.0,0.0,0.036364555,0.031359278,0.0358699,0.086321771,0.087469026,7e-09,0.232266754,-0.023603292999999997,-0.068896011,-0.029374376,-0.042436797,0.001247123,0.040937256,-0.042436894,-0.001737807
16:21:57:31.507,61,0.0,0.0,0.066753827,0,0.094901659,0.111472055,0.253870338,0.0,0.0,0.048628472,0.0,0.094943181,0.111568719,0.253996313,0.015244912,0.003141224,0.0,0.011173843,0.010651874,0.013041257,0.087049961,0.001397761,0.0,0.02986105,0.037803818,0.0,0.0,0.031121519,0.030330174,0.030333117,0.030871704,0.038002115,0.013319095,0.355032474,0.290038139,0.122209281,0.124020152,0.014959154,0.014789663,0.024883149,0.026012464,0.26632157,0.265417516,0.013583317,0.0,0.0,0.036161803,0.031221746,0.035612602,0.086239003,0.087472998,8.5e-09,0.012456413,-0.01509186899999998,-0.011777873,-0.029679952,-0.041445043,0.00123061,0.040742628,-0.041443065,-0.001688998
16:21:57:32.509,61,0.0,0.0,0.06632819,0,0.092590317,0.108707264,0.25123933,0.0,0.0,0.049411718,0.0,0.092638403,0.108789057,0.251362771,0.014908663,0.003218964,0.0,0.01103481,0.010556125,0.012880385,0.084196441,0.001562566,0.0,0.029989988,0.038187232,0.0,0.0,0.030277722,0.029563664,0.029967586,0.030445721,0.037291512,0.013144545,0.321887851,0.26194483,0.113235936,0.114847921,0.01470231,0.014499427,0.024585566,0.025692267,0.23611638,0.235107958,0.013384484,0.0,0.0,0.03587845,0.03103821,0.035305001,0.085781738,0.08709614,1.07e-08,0.012378453,-0.014432164999999997,-0.01116859,-0.030159239,-0.040439528,0.001220105,0.04048451,-0.040433295,-0.001637366
16:21:57:33.510,61,0.0,0.0,0.066331357,0,0.089625202,0.102990761,0.243462399,0.0,0.0,0.049938198,0.0,0.089683935,0.10305129,0.243607998,0.014513462,0.003411591,0.0,0.010897694,0.010471154,0.012678753,0.077613339,0.001746157,0.0,0.02995782,0.038357232,0.0,0.0,0.028937802,0.028380869,0.029537957,0.029964315,0.035593242,0.012923658,0.264513195,0.211517751,0.096497178,0.097943932,0.014420917,0.014186597,0.024147561,0.025223911,0.193935245,0.19277373,0.013277197,0.0,0.0,0.03541312,0.030773381,0.034911327,0.082123362,0.084040463,9.7e-09,0.012270824,-0.013932126999999989,-0.010145307,-0.030482149,-0.039150197,0.001193807,0.040488526,-0.039138462,-0.001585034
16:21:57:34.512,61,0.0,0.0,0.065324716,0,0.085228741,0.095128886,0.235089839,0.0,0.0,0.051620089,0.0,0.085296772,0.095173493,0.235267416,0.014071895,0.003808552,0.0,0.010782981,0.010418716,0.012455824,0.069756642,0.001968489,0.0,0.029467778,0.038167674,0.0,0.0,0.027333742,0.026955539,0.029073525,0.029442933,0.033307664,0.012683163,0.217964485,0.176990688,0.081295088,0.082735762,0.014132953,0.013868234,0.023553705,0.02459345,0.144625723,0.143345118,0.013324213,0.0,0.0,0.034779187,0.030418716,0.034441419,0.073754743,0.076174446,9.3e-09,0.012306989,-0.01241152299999998,-0.008887578,-0.031511076,-0.037236229,0.001173701,0.039877001,-0.037217666,-0.00148442
16:21:57:35.513,61,0.0,0.0,0.064242773,0,0.080489136,0.086173423,0.219401956,0.0,0.0,0.053454202,0.0,0.080568641,0.08620552,0.219622344,0.013576294,0.004320016,0.0,0.010677951,0.010385684,0.012200677,0.061893091,0.002207899,0.0,0.025945816,0.035948087,0.0,0.0,0.025462724,0.025259176,0.028559156,0.028885115,0.030641224,0.012412644,0.174065366,0.140074939,0.067594998,0.068878725,0.013824686,0.01353157,0.022661604,0.023498269,0.094960302,0.093633458,0.013526527,0.0,0.0,0.033269681,0.029987857,0.03389727,0.065401204,0.067769639,8.1e-09,0.011750494,-0.011480885999999996,-0.008490009,-0.032633141,-0.035173435,0.001148089,0.039219469,-0.035147052,-0.001378662
16:21:57:36.515,61,0.0,0.0,0.063322261,0,0.074301533,0.079065643,0.212025479,0.0,0.0,0.055169232,0.0,0.074394152,0.079092182,0.212271288,0.013064473,0.005022012,0.0,0.010604591,0.010389687,0.011955119,0.057104562,0.00242592,0.0,0.02217783,0.033032425,0.0,0.0,0.024048463,0.024041386,0.0280631,0.028363504,0.028783606,0.012151223,0.154460862,0.123688839,0.060456507,0.061621856,0.013533675,0.013213699,0.021730546,0.022378393,0.064316504,0.063012719,0.01393226,0.0,0.0,0.031839665,0.02960135,0.033422597,0.060251057,0.062715143,6.1e-09,0.011536771,-0.009682106999999995,-0.008417374,-0.033683211,-0.032478996,0.001094174,0.038661033,-0.032444406,-0.001254462
16:21:57:37.516,61,0.0,0.0,0.063553006,0,0.070681803,0.073467083,0.206551135,0.0,0.0,0.055677,0.0,0.070791908,0.073491029,0.206830367,0.012536179,0.00573044,0.0,0.010532311,0.01039215,0.01169482,0.053517267,0.002712075,0.0,0.014850625,0.016158251,0.0,0.0,0.022641376,0.022785343,0.027581837,0.027871525,0.027226763,0.011890709,0.137596056,0.110881247,0.055648763,0.056648701,0.013231727,0.012888545,0.020694975,0.021140525,0.044867314,0.043782193,0.014467052,0.0,0.0,0.030363563,0.029214798,0.032950949,0.056321316,0.058725651,4.9e-09,0.011278818,-0.008191126999999992,-0.008669009,-0.033994921,-0.030906657,0.001050801,0.038803857,-0.030863995,-0.001197721
16:21:57:38.518,61,0.0,0.0,0.062820151,0,0.067523256,0.068993002,0.203638658,0.0,0.0,0.056992643,0.0,0.067644283,0.06901592,0.203943417,0.012008309,0.006726826,0.0,0.01047759,0.010411335,0.011440611,0.050773874,0.002968548,0.0,0.01090797,0.010762568,0.0,0.0,0.021493511,0.021764465,0.027126316,0.027417127,0.02611064,0.011646755,0.123887688,0.100192882,0.052310318,0.053106215,0.012948407,0.01258387,0.019819947,0.020116823,0.032104831,0.031269617,0.015329245,0.0,0.0,0.028947767,0.02889856,0.032575265,0.053865153,0.056212544,4.3e-09,0.011357597,-0.006734641999999985,-0.00943346,-0.034799658,-0.029533269,0.001027839,0.038357988,-0.029484272,-0.001131007
16:21:57:39.520,61,0.0,0.0,0.061797395,0,0.065269291,0.065662921,0.202178881,0.0,0.0,0.05832836,0.0,0.065392233,0.065685555,0.202498779,0.011491895,0.007483497,0.0,0.010454186,0.01046207,0.011164199,0.047466386,0.003260896,0.0,0.009204171,0.008253314,0.0,0.0,0.020603744,0.020927217,0.026648276,0.026953483,0.025190044,0.011441688,0.108255565,0.087792434,0.048584681,0.049128205,0.012707975,0.012320505,0.019014554,0.019243002,0.024452345,0.023730459,0.016143426,0.0,0.0,0.027090238,0.028594095,0.032213371,0.051910251,0.054100093,3.8e-09,0.011475417,-0.0055086339999999845,-0.009378646,-0.03561626,-0.028550856,0.001016936,0.037734568,-0.028499391,-0.001075448
