FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:16:49.317,61.0,0.0,0.0,0.048615243,0.0,0.085785814,0.114189096,0.267315954,0.0,0.0,0.067095541,0.0,0.085751116,0.114291549,0.267465979,0.016728602,0.000401862,0.0,0.011982093,0.011573959,0.013355165,0.09964212,0.0,0.00100863,0.030832551,0.033350952,0.0,0.0,0.029164085,0.02854014,0.030651493,0.032133654,0.040058434,0.013286439,0.376711786,0.315076977,0.131469637,0.131951705,0.015710173,0.01577732,0.026748661,0.027965663,0.291990399,0.291293114,0.013270425,0.0,0.0,0.03375452,0.032872882,0.0378034,0.089699388,0.090034097,2.6e-09,0.213728294,-0.058994699,-0.04003302,-0.040957637,-0.0374474,0.001534044,0.029676558,-0.037447617,-0.001111673
16:22:16:50.319,61.0,0.0,0.0,0.049655382,0.0,0.084530421,0.112709343,0.267355084,0.0,0.0,0.066239767,0.0,0.084504746,0.112804234,0.267499328,0.016383667,0.000501998,0.0,0.011830093,0.011444962,0.013241485,0.094612978,0.0,0.00068181,0.030578133,0.03350405,0.0,0.0,0.028564017,0.027933277,0.030338354,0.031712644,0.039439347,0.013169824,0.353308499,0.287142664,0.121171162,0.122236341,0.015441426,0.015463527,0.026438082,0.027622068,0.281648934,0.28083685,0.013011145,0.0,0.0,0.033798713,0.032638494,0.037444465,0.089267768,0.089692704,3e-09,0.010879759,-0.02149688,-0.007736343,-0.040436059,-0.036902327,0.001492454,0.030312115,-0.036900312,-0.001118863
16:22:16:51.320,61.0,0.0,0.0,0.049852524,0.0,0.084422506,0.110151537,0.267258912,0.0,0.0,0.066407137,0.0,0.084406659,0.110235103,0.267398804,0.015994528,0.000669365,0.0,0.011692367,0.011346619,0.013102207,0.087649718,0.0,0.000319955,0.030354025,0.033634361,0.0,0.0,0.027708512,0.027101535,0.029969897,0.031244898,0.038100131,0.013023234,0.294011027,0.234902442,0.104867265,0.105968036,0.015178436,0.015151,0.025993206,0.027135456,0.252651691,0.251678348,0.012809391,0.0,0.0,0.033648081,0.032381237,0.037061963,0.086991623,0.087949432,1.6e-09,0.011345534,-0.01633102,-0.00813295,-0.040538289,-0.036859654,0.001494494,0.030432515,-0.03685334,-0.001121874
16:22:16:52.322,61.0,0.0,0.0,0.051393237,0.0,0.08388757,0.104702823,0.265790761,0.0,0.0,0.065432094,0.0,0.083890848,0.104768783,0.265924901,0.015532904,0.000994623,0.0,0.011552254,0.011260454,0.01289534,0.077030905,7.64e-05,0.0,0.029821526,0.033514261,0.0,0.0,0.026372349,0.02585271,0.029526712,0.030702122,0.03557618,0.012829426,0.235615283,0.193744585,0.086748406,0.088049278,0.014892332,0.014814594,0.025377108,0.026429864,0.205650657,0.204603255,0.012706671,0.0,0.0,0.033271406,0.032023307,0.036576372,0.079982743,0.081765078,1.5e-09,0.011225247,-0.016038272,-0.007925753,-0.039943401,-0.036633514,0.001463532,0.031373307,-0.036620881,-0.001149243
16:22:16:53.323,61.0,0.0,0.0,0.052476179,0.0,0.080485858,0.094975665,0.254655063,0.0,0.0,0.065070607,0.0,0.080510996,0.095021114,0.254781008,0.015013641,0.001479328,0.0,0.01143262,0.011207995,0.012672063,0.067987159,0.000449277,0.0,0.02744522,0.03311684,0.0,0.0,0.02494655,0.024592537,0.029051362,0.030136934,0.032705668,0.012593683,0.195612311,0.15549469,0.072819598,0.074020684,0.014587255,0.01446297,0.024349766,0.025188046,0.14271313,0.141652867,0.012810565,0.0,0.0,0.032707751,0.031591006,0.036020488,0.070706911,0.072935879,1.4e-09,0.011253434,-0.015439841,-0.007653786,-0.039724842,-0.035157293,0.001396825,0.032036107,-0.035136618,-0.001125911
16:22:16:54.325,61.0,0.0,0.0,0.053666882,0.0,0.076198138,0.085239194,0.241360486,0.0,0.0,0.064772956,0.0,0.076248139,0.085272178,0.241523713,0.014445168,0.002154767,0.0,0.011335853,0.011189032,0.01242543,0.060742725,0.000880277,0.0,0.022061467,0.029997509,0.0,0.0,0.023470402,0.023279484,0.028532621,0.029543601,0.030005697,0.012334601,0.1550017,0.125876576,0.06133939,0.062286872,0.014279036,0.014108342,0.022971448,0.023559501,0.086883888,0.085793696,0.013113338,0.0,0.0,0.031590231,0.03110946,0.035419904,0.062735893,0.064805195,1.2e-09,0.011287167,-0.013825732,-0.007215207,-0.039545648,-0.033295564,0.001316837,0.032765117,-0.033265568,-0.001090157
16:22:16:55.327,61.0,0.0,0.0,0.053048763,0.0,0.070309147,0.076741777,0.232301951,0.0,0.0,0.066309743,0.0,0.070379362,0.076768674,0.232506916,0.013826458,0.003266911,0.0,0.011250863,0.011194928,0.012152202,0.053941488,0.001357051,0.0,0.018770911,0.026294092,0.0,0.0,0.022057788,0.02201994,0.027982729,0.028932912,0.027727708,0.012075668,0.124976009,0.101299703,0.053095043,0.053845555,0.013967998,0.013754571,0.021486636,0.02184785,0.053539369,0.052438032,0.013604366,0.0,0.0,0.029782945,0.0306427,0.034853023,0.057289708,0.059254449,1.2e-09,0.011427717,-0.012332651,-0.006763137,-0.040487215,-0.030733982,0.001244385,0.032390393,-0.030694259,-0.000994337
16:22:16:56.328,61.0,0.0,0.0,0.052979089,0.0,0.069080807,0.070513383,0.225987211,0.0,0.0,0.066981122,0.0,0.069168784,0.070537932,0.226232365,0.013182498,0.004580642,0.0,0.011172831,0.011216136,0.011846053,0.047864147,0.001831638,0.0,0.016976694,0.023278814,0.0,0.0,0.020759609,0.020868572,0.027425252,0.028335828,0.025814425,0.011822197,0.101809964,0.082772486,0.04633683,0.046841569,0.013669255,0.013416335,0.020040918,0.020229919,0.033695374,0.032947186,0.014459115,0.0,0.0,0.027493179,0.030205179,0.034334283,0.053506587,0.055402517,1.1e-09,0.011311861,-0.010670948,-0.006239674,-0.040897802,-0.030205837,0.001235383,0.03234838,-0.030157972,-0.000975687
16:22:16:57.330,61.0,0.0,0.0,0.053263929,0.0,0.06713748,0.066565216,0.222577408,0.0,0.0,0.067068383,0.0,0.067234471,0.066589035,0.222844288,0.012557281,0.005570359,0.0,0.011119843,0.011267611,0.011550942,0.044550501,0.002235827,0.0,0.015978515,0.021858161,0.0,0.0,0.019805828,0.019981653,0.026883051,0.027774196,0.024615007,0.011595827,0.091986314,0.074474268,0.0428585,0.043225382,0.01340795,0.013119051,0.019041598,0.019143801,0.023063868,0.022449117,0.015506943,0.0,0.0,0.025818627,0.02984985,0.033922967,0.051487688,0.053350255,2e-09,0.01093973,-0.010049123,-0.005645521,-0.040952116,-0.029361196,0.001202412,0.032523118,-0.029309757,-0.000953349
16:22:16:58.331,61.0,0.0,0.0,0.05287477,0.0,0.066601448,0.064024828,0.219575748,0.0,0.0,0.067565538,0.0,0.066697344,0.064048961,0.219869778,0.011971935,0.006387934,0.0,0.011078496,0.011320873,0.011255592,0.042422775,0.002620104,0.0,0.015715206,0.021202635,0.0,0.0,0.019026017,0.01924664,0.026339924,0.027219972,0.023699533,0.011398193,0.086907633,0.070175245,0.040876836,0.041180756,0.013175722,0.012853376,0.018216036,0.018273739,0.017365631,0.01681044,0.016322309,0.0,0.0,0.024521168,0.029512195,0.03352866,0.050138041,0.051977329,3.7e-09,0.010694669,-0.010291311,-0.005536101,-0.041255955,-0.029126998,0.001201661,0.03228572,-0.02907552,-0.000938825
