FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:35:59.115,61.0,0.0,0.0,0.078012139,0.0,0.08030308,0.093772188,0.278643966,0.0,0.0,0.037647557,0.0,0.080372751,0.093832098,0.278879613,0.01343657,0.001400296,0.0,0.011856544,0.011630806,0.011354327,0.087379836,0.003190656,0.0,0.012287645,0.017783865,0.0,0.0,0.023159167,0.022605419,0.027639641,0.028578129,0.033593051,0.012108696,0.301354587,0.252702713,0.104540959,0.103630096,0.013501568,0.013281251,0.021591665,0.022567187,0.232317776,0.231281698,0.013943615,0.0,0.0,0.031943165,0.028138133,0.03210301,0.072009854,0.07377702,1.4e-09,0.277221561,-0.033532369,-0.029118951,-0.022983443,-0.035078492,0.000806484,0.047625642,-0.035078622,-0.001670694
16:22:36:00.116,61.0,0.0,0.0,0.078479253,0.0,0.079264894,0.093438774,0.278003842,0.0,0.0,0.037377257,0.0,0.079340302,0.093496822,0.278211176,0.013293693,0.001275982,0.0,0.011721477,0.011491077,0.011283269,0.085500225,0.003204933,0.0,0.010722431,0.016638016,0.0,0.0,0.022633579,0.022086626,0.027350832,0.028231032,0.033179309,0.012061764,0.297816157,0.247040078,0.101442285,0.101299368,0.013254033,0.013011145,0.021240577,0.022199493,0.22845377,0.227478847,0.013661725,0.0,0.0,0.032193959,0.027909061,0.031763863,0.07156568,0.073445678,1.9e-09,0.023168471,-0.012775409,-0.006037273,-0.022818785,-0.034627754,0.000790411,0.047911558,-0.034625579,-0.001658993
16:22:36:01.118,61.0,0.0,0.0,0.079139441,0.0,0.078466579,0.092316382,0.274859399,0.0,0.0,0.037078254,0.0,0.078553461,0.09236756,0.275020063,0.013108184,0.001200958,0.0,0.011592188,0.011370992,0.011186195,0.080550574,0.003261392,0.0,0.009576812,0.015722707,0.0,0.0,0.022067729,0.021533005,0.027040269,0.027865632,0.032649651,0.011988604,0.259119719,0.208445698,0.092581905,0.09293735,0.013005804,0.012741569,0.020808796,0.021746848,0.192106515,0.19114162,0.013478506,0.0,0.0,0.03232443,0.027640255,0.031381417,0.069807574,0.072311498,1.7e-09,0.023276882,-0.007287222,-0.006352666,-0.02263651,-0.034284204,0.000776312,0.048315182,-0.034277525,-0.001656128
16:22:36:02.119,61.0,0.0,0.0,0.079407573,0.0,0.07672625,0.089076176,0.266976357,0.0,0.0,0.037300151,0.0,0.076825969,0.089115284,0.267095059,0.012848632,0.001298049,0.0,0.011481786,0.01128941,0.011058856,0.073334172,0.003383868,0.0,0.008839922,0.015138102,0.0,0.0,0.021447737,0.020932989,0.026683262,0.027455052,0.031787593,0.011876243,0.20341745,0.165840074,0.077626668,0.078310736,0.012762718,0.012475153,0.020284031,0.021191727,0.145002127,0.143987909,0.013446543,0.0,0.0,0.032194138,0.02734839,0.030977786,0.065613523,0.0686142,1.8e-09,0.023793995,-0.006041321,-0.006246503,-0.022772566,-0.033530355,0.000763792,0.048480127,-0.033517536,-0.001624905
16:22:36:03.121,61.0,0.0,0.0,0.079403915,0.0,0.075579047,0.084979452,0.260830045,0.0,0.0,0.037896019,0.0,0.075693801,0.085008584,0.260941029,0.012561407,0.001523327,0.0,0.011416528,0.011265053,0.01094299,0.067652963,0.003614092,0.0,0.008069634,0.014179553,0.0,0.0,0.020806486,0.020318436,0.026336774,0.027066786,0.030719193,0.011740295,0.181892425,0.145380393,0.067804165,0.068396762,0.012544132,0.012229662,0.019701241,0.020568365,0.097143591,0.096069612,0.013610493,0.0,0.0,0.031920172,0.027078232,0.030600516,0.061035942,0.064161375,1.9e-09,0.023797853,-0.004863176,-0.005801411,-0.023136733,-0.033036493,0.000764566,0.048478708,-0.033016391,-0.001600545
16:22:36:04.122,61.0,0.0,0.0,0.079232663,0.0,0.073707849,0.079933912,0.253604949,0.0,0.0,0.038808722,0.0,0.073838443,0.079955176,0.253736496,0.012228472,0.001922666,0.0,0.011371148,0.01126991,0.010794438,0.060833506,0.003879981,0.0,0.007366606,0.013419735,0.0,0.0,0.020154398,0.01969883,0.025957285,0.026650012,0.029259594,0.011596607,0.146826997,0.117778927,0.058816977,0.059346214,0.012346621,0.011999907,0.019044448,0.019867923,0.068714894,0.067563281,0.013919846,0.0,0.0,0.031403195,0.026782278,0.030197712,0.056264304,0.059288602,1.9e-09,0.024165522,-0.004163507,-0.005823101,-0.023694597,-0.032227151,0.000763802,0.048375435,-0.032198798,-0.001557561
16:22:36:05.124,61.0,0.0,0.0,0.077542946,0.0,0.071699232,0.074948527,0.248018608,0.0,0.0,0.041323219,0.0,0.071841843,0.074965283,0.248177707,0.01183836,0.002419479,0.0,0.011334012,0.011292873,0.010608094,0.054456398,0.004170893,0.0,0.00642552,0.011475834,0.0,0.0,0.019454105,0.019037504,0.025548905,0.026213495,0.027510267,0.011446598,0.119161755,0.095574595,0.050904289,0.051264443,0.012150426,0.011772699,0.018324567,0.018966286,0.046485353,0.045509961,0.014397836,0.0,0.0,0.030244112,0.026471701,0.029795617,0.052078918,0.055032872,1.8e-09,0.0243594,-0.003837886,-0.00596271,-0.025230516,-0.031356897,0.000791326,0.047345094,-0.031319797,-0.001482769
16:22:36:06.126,61.0,0.0,0.0,0.076389335,0.0,0.06946221,0.070420772,0.243716687,0.0,0.0,0.043332297,0.0,0.069617935,0.070435241,0.243918672,0.011399642,0.003134186,0.0,0.011298637,0.011331309,0.010385579,0.04816661,0.004442179,0.0,0.005534191,0.010042694,0.0,0.0,0.018727463,0.018356927,0.025122995,0.025763057,0.025743932,0.011292318,0.096145392,0.077660017,0.044158597,0.044421967,0.011966133,0.011558836,0.017551472,0.018006234,0.032317631,0.031582438,0.014990922,0.0,0.0,0.028244095,0.026167324,0.029417189,0.048788533,0.051757604,2.1e-09,0.023839619,-0.003434646,-0.006347452,-0.02645798,-0.030387191,0.000804137,0.046642147,-0.030341614,-0.001415118
16:22:36:07.127,61.0,0.0,0.0,0.075424895,0.0,0.065817341,0.06626118,0.241407394,0.0,0.0,0.045060277,0.0,0.065982632,0.066274472,0.241643325,0.010936779,0.003807784,0.0,0.011292396,0.011411647,0.010138988,0.043312784,0.004716121,0.0,0.005470809,0.009628577,0.0,0.0,0.018027237,0.017706545,0.024674671,0.025309114,0.024335668,0.011158695,0.081077538,0.065141805,0.039415177,0.039512128,0.01182174,0.011382739,0.016802264,0.017169301,0.019861091,0.019183939,0.0159052,0.0,0.0,0.026035965,0.025880529,0.029072724,0.046398636,0.049296092,2.7e-09,0.023919206,-0.003931808,-0.007371881,-0.027514346,-0.028801259,0.000792567,0.046055436,-0.028748725,-0.001323931
16:22:36:08.129,61.0,0.0,0.0,0.076264858,0.0,0.061813489,0.062369768,0.237074077,0.0,0.0,0.044553131,0.0,0.061983969,0.062382083,0.237378925,0.010469209,0.004442216,0.0,0.011280955,0.011485227,0.009882687,0.040380057,0.004987534,0.0,0.005848369,0.009645414,0.0,0.0,0.017364128,0.017094145,0.024183432,0.024819041,0.023280915,0.011030833,0.074091017,0.059217647,0.036881767,0.036869358,0.011679566,0.01121306,0.016094493,0.016407862,0.011849064,0.011137659,0.016677788,0.0,0.0,0.024368331,0.025574513,0.028706098,0.044800963,0.04761599,4.2e-09,0.023687972,-0.004718739,-0.008221114,-0.027206011,-0.027055621,0.000736164,0.046570595,-0.027000504,-0.00125728
