FaceBlendShape.Timecode,FaceBlendShape.BlendShapeCount,FaceBlendShape.EyeBlinkLeft,FaceBlendShape.EyeLookDownLeft,FaceBlendShape.EyeLookInLeft,FaceBlendShape.EyeLookOutLeft,FaceBlendShape.EyeLookUpLeft,FaceBlendShape.EyeSquintLeft,FaceBlendShape.EyeWideLeft,FaceBlendShape.EyeBlinkRight,FaceBlendShape.EyeLookDownRight,FaceBlendShape.EyeLookInRight,FaceBlendShape.EyeLookOutRight,FaceBlendShape.EyeLookUpRight,FaceBlendShape.EyeSquintRight,FaceBlendShape.EyeWideRight,FaceBlendShape.JawForward,FaceBlendShape.JawRight,FaceBlendShape.JawLeft,FaceBlendShape.JawOpen,FaceBlendShape.MouthClose,FaceBlendShape.MouthFunnel,FaceBlendShape.MouthPucker,FaceBlendShape.MouthRight,FaceBlendShape.MouthLeft,FaceBlendShape.MouthSmileLeft,FaceBlendShape.MouthSmileRight,FaceBlendShape.MouthFrownLeft,FaceBlendShape.MouthFrownRight,FaceBlendShape.MouthDimpleLeft,FaceBlendShape.MouthDimpleRight,FaceBlendShape.MouthStretchLeft,FaceBlendShape.MouthStretchRight,FaceBlendShape.MouthRollLower,FaceBlendShape.MouthRollUpper,FaceBlendShape.MouthShrugLower,FaceBlendShape.MouthShrugUpper,FaceBlendShape.MouthPressLeft,FaceBlendShape.MouthPressRight,FaceBlendShape.MouthLowerDownLeft,FaceBlendShape.MouthLowerDownRight,FaceBlendShape.MouthUpperUpLeft,FaceBlendShape.MouthUpperUpRight,FaceBlendShape.BrowDownLeft,FaceBlendShape.BrowDownRight,FaceBlendShape.BrowInnerUp,FaceBlendShape.BrowOuterUpLeft,FaceBlendShape.BrowOuterUpRight,FaceBlendShape.CheekPuff,FaceBlendShape.CheekSquintLeft,FaceBlendShape.CheekSquintRight,FaceBlendShape.NoseSneerLeft,FaceBlendShape.NoseSneerRight,FaceBlendShape.TongueOut,FaceBlendShape.HeadYaw,FaceBlendShape.HeadPitch,FaceBlendShape.HeadRoll,FaceBlendShape.LeftEyeYaw,FaceBlendShape.LeftEyePitch,FaceBlendShape.LeftEyeRoll,FaceBlendShape.RightEyeYaw,FaceBlendShape.RightEyePitch,FaceBlendShape.RightEyeRoll
16:22:54:13.826,61.0,0.0,0.0,0.060331415,0.0,0.02361333,0.109604724,0.500466764,0.0,0.0,0.055447653,0.0,0.023615517,0.110112056,0.500261486,0.010263266,0.001433094,0.0,0.004712724,0.004650389,0.008272658,0.099210091,0.007555553,0.0,0.003012193,0.0,0.0,0.002245925,0.021464512,0.021342984,0.027051944,0.030098496,0.03357343,0.013330411,0.370204419,0.295075387,0.114080109,0.112057075,0.018757686,0.014227249,0.022636151,0.022611974,0.153864548,0.156126842,0.025510931,0.0,0.0,0.026982442,0.026702121,0.038561083,0.072842859,0.073344916,5.3e-09,0.364667535,-0.057395565,-0.036281325,-0.033869248,-0.010310127,0.000349142,0.036852416,-0.010310259,-0.000379885
16:22:54:14.827,61.0,0.0,0.0,0.059036188,0.0,0.026557962,0.105752967,0.483140081,0.0,0.0,0.057127062,0.0,0.0265637,0.106279872,0.48309052,0.010536715,0.001594586,0.0,0.005918715,0.005701481,0.009245361,0.099903904,0.007391785,0.0,0.004408139,0.0,0.0,0.000954244,0.021389429,0.021255866,0.027621232,0.030604115,0.034985088,0.013071276,0.360255212,0.284130931,0.112622865,0.110973574,0.018238742,0.01398368,0.02297822,0.022938788,0.157659531,0.159758478,0.024038419,0.0,0.0,0.028708872,0.027943548,0.0385716,0.073998794,0.075040102,1.17e-08,0.011740414,-0.019148651,0.004977389,-0.034894593,-0.011597659,0.000404632,0.036060736,-0.011595636,-0.000418075
16:22:54:15.829,61.0,0.0,0.0,0.061554574,0.0,0.026635554,0.102691762,0.477444589,0.0,0.0,0.055115767,0.0,0.026654132,0.103150092,0.477424443,0.010928636,0.001632529,0.0,0.007100389,0.006933251,0.01039457,0.100425147,0.007417771,0.0,0.00497567,0.0,0.0,0.000289467,0.021280788,0.021131733,0.0282051,0.031131309,0.035943087,0.012948579,0.352197707,0.277560175,0.108372286,0.107351467,0.017916763,0.013929059,0.023298126,0.023219232,0.154568985,0.156430528,0.023396712,0.0,0.0,0.029593518,0.028922707,0.038738631,0.074713491,0.076098301,1.51e-08,0.011632152,-0.013980138,0.002541569,-0.033666037,-0.011636653,0.000391704,0.037599009,-0.011630173,-0.0004372
16:22:54:16.830,61.0,0.0,0.0,0.062781625,0.0,0.018289335,0.096571028,0.46763444,0.0,0.0,0.054612909,0.0,0.018322393,0.096856765,0.467663467,0.011236935,0.00173276,0.0,0.007998965,0.008073485,0.011198758,0.100249596,0.007605667,0.0,0.00497456,0.0,0.0,0.000110849,0.021026764,0.020868084,0.028694138,0.031558119,0.036417034,0.012830612,0.280635297,0.218473777,0.089948341,0.089468852,0.017663172,0.013924813,0.023442345,0.02330967,0.112447582,0.114004262,0.023399798,0.0,0.0,0.030054702,0.029701756,0.038904417,0.074774176,0.076371521,1.75e-08,0.011390735,-0.011031496,0.001441349,-0.033360064,-0.007999101,0.000266807,0.038349893,-0.007986099,-0.000306198
16:22:54:17.832,61.0,0.0,0.0,0.062124554,0.0,0.019522866,0.090378933,0.461752445,0.0,0.0,0.05592984,0.0,0.019574231,0.090540424,0.461812526,0.011444986,0.001971222,0.0,0.00882632,0.009363229,0.0118873,0.096091874,0.007992832,0.0,0.00463779,0.0,0.0,0.000167209,0.020645719,0.020480178,0.029060306,0.031852681,0.036516909,0.012732327,0.215789601,0.169789866,0.074411996,0.073991448,0.017490212,0.013974777,0.023360329,0.023172213,0.068072811,0.069373608,0.024730643,0.0,0.0,0.030141614,0.030414989,0.039127894,0.07280916,0.074887738,1.5e-08,0.013060065,-0.007736701,0.001127625,-0.034164354,-0.008545856,0.000291914,0.037948355,-0.008524595,-0.000323425
16:22:54:18.834,61.0,0.0,0.0,0.059775323,0.0,0.022833049,0.084557116,0.459215552,0.0,0.0,0.059137669,0.0,0.022903811,0.084643535,0.459289074,0.011517437,0.002367356,0.0,0.009598021,0.010692567,0.012447063,0.084246516,0.008422832,0.0,0.004031833,0.0,0.0,0.000413062,0.020122545,0.019960301,0.029307168,0.032031536,0.036255937,0.01264178,0.165961117,0.126875877,0.060538434,0.060060747,0.017383896,0.014065086,0.023040896,0.022802871,0.023238979,0.023953049,0.030638628,0.0,0.0,0.029878754,0.031067317,0.039387241,0.068290226,0.070526272,1.01e-08,0.013962657,-0.0073147,0.001568302,-0.036123343,-0.010000195,0.000361174,0.036512855,-0.009969442,-0.000363944
16:22:54:19.835,61.0,0.0,0.0,0.059669808,0.0,0.021294892,0.077102788,0.457501203,0.0,0.0,0.06001503,0.0,0.021387782,0.077145465,0.457584143,0.011400309,0.002898081,0.0,0.010248168,0.011607933,0.012748336,0.071123555,0.008824847,0.0,0.002357274,0.0,0.0,0.000984867,0.01944112,0.019303158,0.029313952,0.031973951,0.034975518,0.012527393,0.117888957,0.093718134,0.049220063,0.048626155,0.017251099,0.014108766,0.02248583,0.022207251,0.0,0.0,0.035273016,0.012867646,0.013959878,0.029008621,0.03146055,0.0394517,0.061998326,0.064021327,8.1e-09,0.014344976,-0.00833756,0.001647791,-0.036659502,-0.009338454,0.000342276,0.036448643,-0.009297824,-0.000338828
16:22:54:20.837,61.0,0.0,0.0,0.058728609,0.0,0.020390574,0.070977047,0.456893325,0.0,0.0,0.061570291,0.0,0.020501496,0.071000621,0.456983089,0.011167394,0.003764162,0.0,0.010816753,0.012402101,0.012890832,0.061776128,0.009137854,0.0,0.001464495,0.0,0.0,0.001385024,0.018584177,0.018544234,0.029192451,0.031788319,0.032936923,0.012403482,0.094246887,0.073316306,0.041903727,0.041214924,0.017133715,0.014148424,0.021635475,0.021248212,0.0,0.0,0.042575404,0.061075132,0.06231834,0.027542165,0.031735014,0.039468512,0.057471793,0.059356291,6.7e-09,0.014531501,-0.008316028,0.000985176,-0.037609644,-0.008951795,0.000336604,0.035873849,-0.008902794,-0.000319317
16:22:54:21.838,61.0,0.0,0.0,0.057393111,0.0,0.017870234,0.066191398,0.456322968,0.0,0.0,0.063355424,0.0,0.017988261,0.06620758,0.456419885,0.010886616,0.004622597,0.0,0.0113541,0.013139895,0.012955211,0.056387492,0.009363728,0.0,0.000692872,0.0,0.0,0.001778066,0.017805561,0.017806403,0.029010095,0.031549469,0.031156896,0.012275983,0.082337998,0.063142344,0.037758794,0.037009448,0.017025923,0.014183185,0.02083879,0.020384416,0.0,0.0,0.048339125,0.083254337,0.084426187,0.025950909,0.031935602,0.039446626,0.054846626,0.056635115,6.8e-09,0.013862083,-0.009193304,0.000736582,-0.038700432,-0.00785474,0.000303912,0.035058398,-0.007802155,-0.000273481
16:22:54:22.840,61.0,0.0,0.0,0.057630699,0.0,0.01756233,0.062085889,0.447171092,0.0,0.0,0.063207045,0.0,0.017680628,0.062099967,0.447363049,0.010552537,0.005866485,0.0,0.011744621,0.01368697,0.012909681,0.053584632,0.009477563,0.0,0.0,0.0,0.002483204,0.002518078,0.016997837,0.01705556,0.028684165,0.031155784,0.029390369,0.012105848,0.076183654,0.057958894,0.035410784,0.034621488,0.016822094,0.014119958,0.020072512,0.019594077,0.0,0.0,0.05170279,0.095956281,0.097156182,0.024717812,0.031994142,0.039283466,0.052671108,0.054198545,6.4e-09,0.012864313,-0.009249407,0.000966714,-0.038609844,-0.007720383,0.000298015,0.035203558,-0.007667763,-0.000269882
16:22:54:23.841,61.0,0.0,0.0,0.05779288,0.0,0.018054923,0.058825731,0.427024365,0.0,0.0,0.063113719,0.0,0.018173222,0.058840066,0.42732352,0.010203705,0.007039034,0.0,0.012015381,0.014089134,0.012804671,0.051904719,0.009532001,0.0,0.0,0.0,0.01128879,0.00821186,0.01622266,0.016307959,0.028287945,0.030685466,0.028055586,0.011907652,0.073032908,0.055308074,0.033913959,0.033106729,0.016564731,0.013997313,0.019359691,0.018870141,0.0,0.0,0.053299703,0.101434946,0.102650523,0.023787657,0.031939641,0.039003059,0.051285721,0.05264296,5e-09,0.012433996,-0.009234774,0.001298561,-0.038552761,-0.007935462,0.000305865,0.035302568,-0.007882856,-0.000278233
16:22:54:24.843,61.0,0.0,0.0,0.057543643,0.0,0.018334687,0.056358576,0.409932911,0.0,0.0,0.063445583,0.0,0.018452713,0.056373909,0.410275042,0.009843581,0.007974215,0.0,0.012195213,0.01437187,0.012644435,0.050757732,0.009534176,0.0,0.0,0.0,0.018783296,0.014342167,0.015470929,0.015576152,0.027847046,0.030167583,0.026802009,0.011688739,0.071322888,0.053884499,0.032840449,0.032024961,0.016257972,0.013821927,0.018664075,0.018175494,0.0,0.0,0.054136962,0.103640489,0.104894795,0.022965401,0.03178446,0.038627602,0.050162174,0.051375553,3.5e-09,0.012127269,-0.009938109,0.001579436,-0.038755447,-0.008057565,0.000312203,0.03515029,-0.008004961,-0.000281325
